Need For Speed: Rivals Hits (PS4),https://m.media-amazon.com/images/I/81Oqvv6OxHL._AC_UL436_.jpg,http://amazon.in/Need-For-Speed-Rivals-PS4/dp/B00D781QO6/ref=sr_1_30?keywords=ps4&qid=1564152930&s=gateway&sr=8-30,4.0 out of 5 stars,363,999,India,,"['204', '94']",2
"Gadgets Wrap Ps4 Controller Designer Skin For Sony Playstation 4 Dualshock Wireless Controller Marvel Avengers, Skin For One Controller Only - Multicolor",https://m.media-amazon.com/images/I/41UuqdLCo1L._AC_UL436_.jpg,http://amazon.in/GADGETS-WRAP-Controller-Playstation-DualShock/dp/B0791C2YDJ/ref=sr_1_31?keywords=ps4&qid=1564152930&s=gateway&sr=8-31,1.0 out of 5 stars,2,289,India,,"['283', '7']",2
Detroit: Become Human (PS4),https://m.media-amazon.com/images/I/91aFy6jNQxL._AC_UL436_.jpg,http://amazon.in/Sony-180853-Detroit-Become-Human/dp/B07CR3QKQL/ref=sr_1_32?keywords=ps4&qid=1564152930&s=gateway&sr=8-32,4.6 out of 5 stars,89,"1,740",India,,"['158', '78']",2
Sage Controller KontrolFreek FPS Freek Battle Royal Thumbstick for PS4(Playstaiton 4) | 2 High Rise Convex | Purple,https://m.media-amazon.com/images/I/31nUFVR7zHL._AC_UL436_.jpg,http://amazon.in/Sage-Controller-KontrolFreek-Thumbstick-Playstaiton/dp/B07T1HZ7D9/ref=sr_1_33?keywords=ps4&qid=1564152930&s=gateway&sr=8-33,5.0 out of 5 stars,2,699,India,,[],0
Titanfall 2 (PS4),https://m.media-amazon.com/images/I/81rQIeGFJHL._AC_UL436_.jpg,http://amazon.in/Electronic-Arts-193514-Titanfall-PS4/dp/B01C8MQP6A/ref=sr_1_34?keywords=ps4&qid=1564152930&s=gateway&sr=8-34,4.3 out of 5 stars,107,799,India,,"['106', '55']",2
"GADGETS WRAP PS4 Controller Designer Skin for Sony Playstation 4, PS4 Slim, Ps4 Pro DualShock Remote Wireless Controller - Batman Comic Book, Skin for One Controller Only",https://m.media-amazon.com/images/I/51mWz4FcbuL._AC_UL436_.jpg,http://amazon.in/GADGETS-WRAP-Controller-Playstation-DualShock/dp/B076QDV6VK/ref=sr_1_35?keywords=ps4&qid=1564152945&s=gateway&sr=8-35,2.4 out of 5 stars,2,290,India,,"['2', '48']",2
Resident Evil 7: Biohazard (PS4),https://m.media-amazon.com/images/I/81iKlRmojmL._AC_UL436_.jpg,http://amazon.in/Resident-Evil-7-Biohazard-PS4/dp/B01HRK41NM/ref=sr_1_36?keywords=ps4&qid=1564152945&s=gateway&sr=8-36,4.1 out of 5 stars,89,"1,290",India,,"['263', '116']",2
Macmerise Smash - Skin for Sony PS4,https://m.media-amazon.com/images/I/61SHGnJW37L._AC_UL436_.jpg,http://amazon.in/Macmerise-Smash-Skin-Sony-PS4/dp/B071ZJXL77/ref=sr_1_37?keywords=ps4&qid=1564152945&s=gateway&sr=8-37,No ratings Provided,No responses available,257,India,,"['10', '523']",2
FIFA 16 (PS4),https://m.media-amazon.com/images/I/71LyLL5Xq5L._AC_UL436_.jpg,http://amazon.in/Electronic-Arts-018019-FIFA-PS4/dp/B013HSQVAE/ref=sr_1_38?keywords=ps4&qid=1564152945&s=gateway&sr=8-38,4.5 out of 5 stars,264,369,India,,"['145', '73']",2
GADGETS WRAP DualShock Remote Wireless Controller Skin for Sony Playstation 4/PS4 Slim/Pro (Multicolour),https://m.media-amazon.com/images/I/51mtqsNp-EL._AC_UL436_.jpg,http://amazon.in/GADGETS-WRAP-Controller-Playstation-Multicolour/dp/B0791BL28Q/ref=sr_1_39?keywords=ps4&qid=1564152945&s=gateway&sr=8-39,2.8 out of 5 stars,2,290,India,,"['711', '13']",2
Drive Club (PS4),https://m.media-amazon.com/images/I/91I8MKC6xQL._AC_UL436_.jpg,http://amazon.in/Sony-G000006312-Drive-Club-PS4/dp/B00HR4IFZ4/ref=sr_1_40?keywords=ps4&qid=1564152945&s=gateway&sr=8-40,3.5 out of 5 stars,225,685,India,,"['82', '44']",2
Bloodborne - Game of the Year Edition (PS4),https://m.media-amazon.com/images/I/71QCDEEwSgL._AC_UL436_.jpg,http://amazon.in/Sony-179746-Bloodborne-Game-Year/dp/B018209X7U/ref=sr_1_41?keywords=ps4&qid=1564152945&s=gateway&sr=8-41,4.7 out of 5 stars,86,"1,216",India,,"['216', '102']",2
Mortal Kombat XL (PS4),https://m.media-amazon.com/images/I/71yf02bWjYL._AC_UL436_.jpg,http://amazon.in/Warner-Bros-Mortal-Kombat-PS4/dp/B01GA43U1U/ref=sr_1_42?keywords=ps4&qid=1564152945&s=gateway&sr=8-42,4.5 out of 5 stars,58,"1,420",India,,"['373', '153']",2
Horizon Zero Dawn (PS4),https://m.media-amazon.com/images/I/81rWhbu6z+L._AC_UL436_.jpg,http://amazon.in/Sony-217769-Horizon-Zero-Dawn/dp/B06VV22K8R/ref=sr_1_43?keywords=ps4&qid=1564152945&s=gateway&sr=8-43,4.6 out of 5 stars,452,"1,080",India,,"['118', '61']",2
