Product Name,Image URL,Product URL,Ratings,No: of Responses,price,country
"PS4 stand, Pro feet, gift exchange",https://i.etsystatic.com/15722794/d/il/e688dc/1745905946/il_340x270.1745905946_6cbq.jpg?version=0,https://www.etsy.com/in-en/listing/661208726/ps4-stand-pro-feet-gift-exchange?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-13&organic_search_click=1&pro=1&col=1,4.6677,359,6,United States
Mint Green Soft Touch PS4 Controller,https://i.etsystatic.com/20332497/d/il/bb25d7/1949563689/il_340x270.1949563689_ojot.jpg?version=0,https://www.etsy.com/in-en/listing/712111583/mint-green-soft-touch-ps4-controller?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-14&organic_search_click=1,5,3,69,United States
Galaxy Soft Touch PS4 Controller,https://i.etsystatic.com/20332497/d/il/c1ea19/1901963960/il_340x270.1901963960_fkoi.jpg?version=0,https://www.etsy.com/in-en/listing/712096757/galaxy-soft-touch-ps4-controller?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-15&organic_search_click=1,5,3,69,United States
ps4 sky skin ps4 clouds skin pink ps4 skin pstel ps4 skin PS4 Slim Decal PS4 Fat Sticker Fat PS4 Pro PS4 Pro Sticker Slim PS4 Fat sticker,https://i.etsystatic.com/19936532/d/il/2b9bf6/1854545004/il_340x270.1854545004_j0n4.jpg?version=0,https://www.etsy.com/in-en/listing/700858399/ps4-sky-skin-ps4-clouds-skin-pink-ps4?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-16&organic_search_click=1,4.5,12,5.55,United States
PS4 Wall Mount | Wallmount for Playstation 4 | PS4 Accessories | Playstation Holder | Console Mount | 3D Printing | Gaming Accessory,https://i.etsystatic.com/11269383/c/2341/1859/354/0/il/60d7a0/1669916029/il_340x270.1669916029_4unq.jpg,https://www.etsy.com/in-en/listing/630638322/ps4-wall-mount-wallmount-for-playstation?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-17&organic_search_click=1&col=1,4.9231,13,12.94,United States
PS4 Slim Dust Cover,https://i.etsystatic.com/13832518/d/il/bb7287/1289410481/il_340x270.1289410481_hk5k.jpg?version=0,https://www.etsy.com/in-en/listing/543519399/ps4-slim-dust-cover?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-18&organic_search_click=1&col=1,4.9393,1109,11,United States
New Sony Playstation Dualshock PS4 Wireless Controller Custom Soft Touch Faded Orange,https://i.etsystatic.com/13083580/d/il/5cead3/1409164261/il_340x270.1409164261_t2ol.jpg?version=0,https://www.etsy.com/in-en/listing/523410092/new-sony-playstation-dualshock-ps4?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-19&organic_search_click=1,4.9383,258,69.99,United States
"Feet for PS4 FAT, 3D printed PS4 mounts, PlayStation 4 passive cooling",https://i.etsystatic.com/19840843/d/il/b94e12/1912823905/il_340x270.1912823905_rra3.jpg?version=0,https://www.etsy.com/in-en/listing/689568738/feet-for-ps4-fat-3d-printed-ps4-mounts?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-20&organic_search_click=1,5,3,8.08,United States
Dolls House Miniature PS4 Bundle | 14 Items | Personalised To Your Requirements | 1/12 Scale | Dolls House Furniture | Diorama Props,https://i.etsystatic.com/20286055/d/il/78eee9/1945431786/il_340x270.1945431786_d44v.jpg?version=0,https://www.etsy.com/in-en/listing/708142676/dolls-house-miniature-ps4-bundle-14?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-21&organic_search_click=1&frs=1,4.8571,14,16.76,United States
Yellow Soft Touch PS4 Controller,https://i.etsystatic.com/20332497/d/il/30fac4/1902228626/il_340x270.1902228626_st0b.jpg?version=0,https://www.etsy.com/in-en/listing/698304182/yellow-soft-touch-ps4-controller?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-22&organic_search_click=1,5,3,69,United States
